category,disease,url,website
心臟科,二尖瓣脫垂,https://kb.commonhealth.com.tw/library/5.html,commonhealth
心臟科,冠狀動脈心臟病,https://kb.commonhealth.com.tw/library/7.html,commonhealth
心臟科,心房顫動,https://kb.commonhealth.com.tw/library/21.html,commonhealth
心臟科,心肌梗塞,https://kb.commonhealth.com.tw/library/22.html,commonhealth
心臟科,心血管疾病,https://kb.commonhealth.com.tw/library/24.html,commonhealth
心臟科,急性白血病,https://kb.commonhealth.com.tw/library/25.html,commonhealth
心臟科,白血病,https://kb.commonhealth.com.tw/library/29.html,commonhealth
心臟科,非何杰金氏淋巴瘤,https://kb.commonhealth.com.tw/library/45.html,commonhealth
肝膽腸胃科,B型肝炎,https://kb.commonhealth.com.tw/library/1.html,commonhealth
肝膽腸胃科,C型肝炎,https://kb.commonhealth.com.tw/library/2.html,commonhealth
肝膽腸胃科,猛爆性肝炎,https://kb.commonhealth.com.tw/library/28.html,commonhealth
肝膽腸胃科,肝囊腫,https://kb.commonhealth.com.tw/library/32.html,commonhealth
肝膽腸胃科,肝癌,https://kb.commonhealth.com.tw/library/33.html,commonhealth
肝膽腸胃科,肝硬化,https://kb.commonhealth.com.tw/library/34.html,commonhealth
肝膽腸胃科,肝細胞癌,https://kb.commonhealth.com.tw/library/35.html,commonhealth
肝膽腸胃科,肝血管瘤,https://kb.commonhealth.com.tw/library/71.html,commonhealth
肝膽腸胃科,黃疸,https://kb.commonhealth.com.tw/library/93.html,commonhealth
肝膽腸胃科,肝衰竭,https://kb.commonhealth.com.tw/library/99.html,commonhealth
肝膽腸胃科,小細胞肺癌,https://kb.commonhealth.com.tw/library/17.html,commonhealth
肝膽腸胃科,氣喘,https://kb.commonhealth.com.tw/library/27.html,commonhealth
肝膽腸胃科,肋膜積水,https://kb.commonhealth.com.tw/library/31.html,commonhealth
肝膽腸胃科,肺炎,https://kb.commonhealth.com.tw/library/36.html,commonhealth
肝膽腸胃科,肺癌,https://kb.commonhealth.com.tw/library/37.html,commonhealth
肝膽腸胃科,鱗狀上皮細胞肺癌,https://kb.commonhealth.com.tw/library/49.html,commonhealth
肝膽腸胃科,咳嗽：急性咳嗽,https://kb.commonhealth.com.tw/library/60.html,commonhealth
肝膽腸胃科,流行性感冒,https://kb.commonhealth.com.tw/library/68.html,commonhealth
肝膽腸胃科,肺纖維化,https://kb.commonhealth.com.tw/library/74.html,commonhealth
肝膽腸胃科,肺水腫,https://kb.commonhealth.com.tw/library/82.html,commonhealth
肝膽腸胃科,大腸憩室炎,https://kb.commonhealth.com.tw/library/12.html,commonhealth
肝膽腸胃科,大腸激躁症,https://kb.commonhealth.com.tw/library/13.html,commonhealth
肝膽腸胃科,大腸癌,https://kb.commonhealth.com.tw/library/14.html,commonhealth
肝膽腸胃科,胃癌,https://kb.commonhealth.com.tw/library/39.html,commonhealth
肝膽腸胃科,胰臟癌,https://kb.commonhealth.com.tw/library/41.html,commonhealth
肝膽腸胃科,腸阻塞,https://kb.commonhealth.com.tw/library/43.html,commonhealth
肝膽腸胃科,食道癌,https://kb.commonhealth.com.tw/library/46.html,commonhealth
